IP #AbuseIPDB Abuse Score;AbuseIPDB Unique Reports;OTX AlienVault Pulse Count;AbuseIPDB URL;OTX AlienVault URL;Status;Action
20.168.121.1 #100;283;5;https://www.abuseipdb.com/check/20.168.121.1;https://otx.alienvault.com/indicator/ip/20.168.121.1;Malicious;Block
20.168.121.152 #100;286;4;https://www.abuseipdb.com/check/20.168.121.152;https://otx.alienvault.com/indicator/ip/20.168.121.152;Malicious;Block
20.168.120.173 #100;329;4;https://www.abuseipdb.com/check/20.168.120.173;https://otx.alienvault.com/indicator/ip/20.168.120.173;Malicious;Block
196.251.72.203 #100;8417;4;https://www.abuseipdb.com/check/196.251.72.203;https://otx.alienvault.com/indicator/ip/196.251.72.203;Malicious;Block
195.211.191.76 #100;4289;17;https://www.abuseipdb.com/check/195.211.191.76;https://otx.alienvault.com/indicator/ip/195.211.191.76;Malicious;Block
195.178.110.161 #100;1960;22;https://www.abuseipdb.com/check/195.178.110.161;https://otx.alienvault.com/indicator/ip/195.178.110.161;Malicious;Block
196.251.69.233 #100;1026;11;https://www.abuseipdb.com/check/196.251.69.233;https://otx.alienvault.com/indicator/ip/196.251.69.233;Malicious;Block
77.90.185.47 #100;432;7;https://www.abuseipdb.com/check/77.90.185.47;https://otx.alienvault.com/indicator/ip/77.90.185.47;Malicious;Block
80.66.75.121 #100;1076;11;https://www.abuseipdb.com/check/80.66.75.121;https://otx.alienvault.com/indicator/ip/80.66.75.121;Malicious;Block
80.66.75.121 #100;1076;11;https://www.abuseipdb.com/check/80.66.75.121;https://otx.alienvault.com/indicator/ip/80.66.75.121;Malicious;Block
80.66.75.121 #100;1076;11;https://www.abuseipdb.com/check/80.66.75.121;https://otx.alienvault.com/indicator/ip/80.66.75.121;Malicious;Block
20.118.210.93 #100;155;2;https://www.abuseipdb.com/check/20.118.210.93;https://otx.alienvault.com/indicator/ip/20.118.210.93;Malicious;Block
20.106.16.245 #100;132;2;https://www.abuseipdb.com/check/20.106.16.245;https://otx.alienvault.com/indicator/ip/20.106.16.245;Malicious;Block
20.106.33.41 #100;176;2;https://www.abuseipdb.com/check/20.106.33.41;https://otx.alienvault.com/indicator/ip/20.106.33.41;Malicious;Block
20.14.75.6 #100;271;2;https://www.abuseipdb.com/check/20.14.75.6;https://otx.alienvault.com/indicator/ip/20.14.75.6;Malicious;Block
20.14.93.87 #100;223;3;https://www.abuseipdb.com/check/20.14.93.87;https://otx.alienvault.com/indicator/ip/20.14.93.87;Malicious;Block
20.14.88.205 #100;317;5;https://www.abuseipdb.com/check/20.14.88.205;https://otx.alienvault.com/indicator/ip/20.14.88.205;Malicious;Block
20.14.87.238 #100;819;9;https://www.abuseipdb.com/check/20.14.87.238;https://otx.alienvault.com/indicator/ip/20.14.87.238;Malicious;Block
20.150.193.188 #100;140;3;https://www.abuseipdb.com/check/20.150.193.188;https://otx.alienvault.com/indicator/ip/20.150.193.188;Malicious;Block
20.150.195.76 #100;161;4;https://www.abuseipdb.com/check/20.150.195.76;https://otx.alienvault.com/indicator/ip/20.150.195.76;Malicious;Block
20.15.166.220 #100;290;4;https://www.abuseipdb.com/check/20.15.166.220;https://otx.alienvault.com/indicator/ip/20.15.166.220;Malicious;Block
20.150.202.55 #100;856;8;https://www.abuseipdb.com/check/20.150.202.55;https://otx.alienvault.com/indicator/ip/20.150.202.55;Malicious;Block
20.150.207.247 #100;790;8;https://www.abuseipdb.com/check/20.150.207.247;https://otx.alienvault.com/indicator/ip/20.150.207.247;Malicious;Block
20.221.72.15 #100;134;3;https://www.abuseipdb.com/check/20.221.72.15;https://otx.alienvault.com/indicator/ip/20.221.72.15;Malicious;Block
20.171.8.86 #100;277;3;https://www.abuseipdb.com/check/20.171.8.86;https://otx.alienvault.com/indicator/ip/20.171.8.86;Malicious;Block
20.221.56.120 #100;139;1;https://www.abuseipdb.com/check/20.221.56.120;https://otx.alienvault.com/indicator/ip/20.221.56.120;Malicious;Block
196.251.112.87 #100;8613;9;https://www.abuseipdb.com/check/196.251.112.87;https://otx.alienvault.com/indicator/ip/196.251.112.87;Malicious;Block
196.251.117.40 #100;2165;6;https://www.abuseipdb.com/check/196.251.117.40;https://otx.alienvault.com/indicator/ip/196.251.117.40;Malicious;Block
196.251.112.87 #100;8613;9;https://www.abuseipdb.com/check/196.251.112.87;https://otx.alienvault.com/indicator/ip/196.251.112.87;Malicious;Block
13.89.125.231 #100;997;10;https://www.abuseipdb.com/check/13.89.125.231;https://otx.alienvault.com/indicator/ip/13.89.125.231;Malicious;Block
13.86.115.28 #100;112;1;https://www.abuseipdb.com/check/13.86.115.28;https://otx.alienvault.com/indicator/ip/13.86.115.28;Malicious;Block
20.14.72.151 #100;327;3;https://www.abuseipdb.com/check/20.14.72.151;https://otx.alienvault.com/indicator/ip/20.14.72.151;Malicious;Block
20.118.233.189 #100;281;1;https://www.abuseipdb.com/check/20.118.233.189;https://otx.alienvault.com/indicator/ip/20.118.233.189;Malicious;Block
20.15.232.203 #100;130;2;https://www.abuseipdb.com/check/20.15.232.203;https://otx.alienvault.com/indicator/ip/20.15.232.203;Malicious;Block
20.150.205.203 #100;780;7;https://www.abuseipdb.com/check/20.150.205.203;https://otx.alienvault.com/indicator/ip/20.150.205.203;Malicious;Block
20.163.60.142 #100;321;3;https://www.abuseipdb.com/check/20.163.60.142;https://otx.alienvault.com/indicator/ip/20.163.60.142;Malicious;Block
20.163.60.53 #100;169;2;https://www.abuseipdb.com/check/20.163.60.53;https://otx.alienvault.com/indicator/ip/20.163.60.53;Malicious;Block
20.163.76.6 #100;339;3;https://www.abuseipdb.com/check/20.163.76.6;https://otx.alienvault.com/indicator/ip/20.163.76.6;Malicious;Block
20.168.120.0 #100;151;2;https://www.abuseipdb.com/check/20.168.120.0;https://otx.alienvault.com/indicator/ip/20.168.120.0;Malicious;Block
20.169.49.44 #100;291;4;https://www.abuseipdb.com/check/20.169.49.44;https://otx.alienvault.com/indicator/ip/20.169.49.44;Malicious;Block
20.169.105.81 #100;1001;6;https://www.abuseipdb.com/check/20.169.105.81;https://otx.alienvault.com/indicator/ip/20.169.105.81;Malicious;Block
20.46.243.240 #100;306;3;https://www.abuseipdb.com/check/20.46.243.240;https://otx.alienvault.com/indicator/ip/20.46.243.240;Malicious;Block
20.29.42.207 #100;283;9;https://www.abuseipdb.com/check/20.29.42.207;https://otx.alienvault.com/indicator/ip/20.29.42.207;Malicious;Block
20.64.104.79 #100;630;4;https://www.abuseipdb.com/check/20.64.104.79;https://otx.alienvault.com/indicator/ip/20.64.104.79;Malicious;Block
20.38.40.140 #100;853;3;https://www.abuseipdb.com/check/20.38.40.140;https://otx.alienvault.com/indicator/ip/20.38.40.140;Malicious;Block
20.65.193.159 #100;938;5;https://www.abuseipdb.com/check/20.65.193.159;https://otx.alienvault.com/indicator/ip/20.65.193.159;Malicious;Block
20.64.106.19 #100;673;2;https://www.abuseipdb.com/check/20.64.106.19;https://otx.alienvault.com/indicator/ip/20.64.106.19;Malicious;Block
20.65.194.113 #100;1017;7;https://www.abuseipdb.com/check/20.65.194.113;https://otx.alienvault.com/indicator/ip/20.65.194.113;Malicious;Block
20.65.193.155 #100;851;11;https://www.abuseipdb.com/check/20.65.193.155;https://otx.alienvault.com/indicator/ip/20.65.193.155;Malicious;Block
20.65.194.113 #100;1017;7;https://www.abuseipdb.com/check/20.65.194.113;https://otx.alienvault.com/indicator/ip/20.65.194.113;Malicious;Block
20.65.194.36 #100;1058;3;https://www.abuseipdb.com/check/20.65.194.36;https://otx.alienvault.com/indicator/ip/20.65.194.36;Malicious;Block
20.83.26.102 #100;147;1;https://www.abuseipdb.com/check/20.83.26.102;https://otx.alienvault.com/indicator/ip/20.83.26.102;Malicious;Block
20.65.195.38 #100;1050;4;https://www.abuseipdb.com/check/20.65.195.38;https://otx.alienvault.com/indicator/ip/20.65.195.38;Malicious;Block
20.80.84.128 #100;161;2;https://www.abuseipdb.com/check/20.80.84.128;https://otx.alienvault.com/indicator/ip/20.80.84.128;Malicious;Block
20.80.84.128 #100;161;2;https://www.abuseipdb.com/check/20.80.84.128;https://otx.alienvault.com/indicator/ip/20.80.84.128;Malicious;Block
204.76.203.35 #100;151;8;https://www.abuseipdb.com/check/204.76.203.35;https://otx.alienvault.com/indicator/ip/204.76.203.35;Malicious;Block
204.76.203.35 #100;151;8;https://www.abuseipdb.com/check/204.76.203.35;https://otx.alienvault.com/indicator/ip/204.76.203.35;Malicious;Block
8.221.139.116 #100;2261;50;https://www.abuseipdb.com/check/8.221.139.116;https://otx.alienvault.com/indicator/ip/8.221.139.116;Malicious;Block
13.89.124.215 #100;967;6;https://www.abuseipdb.com/check/13.89.124.215;https://otx.alienvault.com/indicator/ip/13.89.124.215;Malicious;Block
2.59.22.234 #100;7903;24;https://www.abuseipdb.com/check/2.59.22.234;https://otx.alienvault.com/indicator/ip/2.59.22.234;Malicious;Block
20.163.20.206 #100;645;5;https://www.abuseipdb.com/check/20.163.20.206;https://otx.alienvault.com/indicator/ip/20.163.20.206;Malicious;Block
20.168.8.243 #100;277;4;https://www.abuseipdb.com/check/20.168.8.243;https://otx.alienvault.com/indicator/ip/20.168.8.243;Malicious;Block
20.169.49.41 #100;303;4;https://www.abuseipdb.com/check/20.169.49.41;https://otx.alienvault.com/indicator/ip/20.169.49.41;Malicious;Block
20.171.28.219 #100;890;7;https://www.abuseipdb.com/check/20.171.28.219;https://otx.alienvault.com/indicator/ip/20.171.28.219;Malicious;Block
20.64.104.27 #100;621;3;https://www.abuseipdb.com/check/20.64.104.27;https://otx.alienvault.com/indicator/ip/20.64.104.27;Malicious;Block
20.64.105.183 #100;606;1;https://www.abuseipdb.com/check/20.64.105.183;https://otx.alienvault.com/indicator/ip/20.64.105.183;Malicious;Block
5.183.209.244 #100;6955;25;https://www.abuseipdb.com/check/5.183.209.244;https://otx.alienvault.com/indicator/ip/5.183.209.244;Malicious;Block
20.84.146.240 #100;747;3;https://www.abuseipdb.com/check/20.84.146.240;https://otx.alienvault.com/indicator/ip/20.84.146.240;Malicious;Block
20.83.61.223 #100;288;4;https://www.abuseipdb.com/check/20.83.61.223;https://otx.alienvault.com/indicator/ip/20.83.61.223;Malicious;Block
20.84.161.89 #100;145;1;https://www.abuseipdb.com/check/20.84.161.89;https://otx.alienvault.com/indicator/ip/20.84.161.89;Malicious;Block
34.38.134.164 #100;398;14;https://www.abuseipdb.com/check/34.38.134.164;https://otx.alienvault.com/indicator/ip/34.38.134.164;Malicious;Block
39.108.88.227 #100;533;3;https://www.abuseipdb.com/check/39.108.88.227;https://otx.alienvault.com/indicator/ip/39.108.88.227;Malicious;Block
39.108.88.227 #100;533;3;https://www.abuseipdb.com/check/39.108.88.227;https://otx.alienvault.com/indicator/ip/39.108.88.227;Malicious;Block
40.124.174.149 #100;606;1;https://www.abuseipdb.com/check/40.124.174.149;https://otx.alienvault.com/indicator/ip/40.124.174.149;Malicious;Block
47.254.207.44 #100;2355;50;https://www.abuseipdb.com/check/47.254.207.44;https://otx.alienvault.com/indicator/ip/47.254.207.44;Malicious;Block
47.251.92.216 #100;2233;50;https://www.abuseipdb.com/check/47.251.92.216;https://otx.alienvault.com/indicator/ip/47.251.92.216;Malicious;Block
92.118.39.237 #100;4185;0;https://www.abuseipdb.com/check/92.118.39.237;https://otx.alienvault.com/indicator/ip/92.118.39.237;Malicious;Block
51.79.196.197 #70;37;1;https://www.abuseipdb.com/check/51.79.196.197;https://otx.alienvault.com/indicator/ip/51.79.196.197;Malicious;Block
51.79.196.197 #70;37;1;https://www.abuseipdb.com/check/51.79.196.197;https://otx.alienvault.com/indicator/ip/51.79.196.197;Malicious;Block
98.142.245.58 #100;64;0;https://www.abuseipdb.com/check/98.142.245.58;https://otx.alienvault.com/indicator/ip/98.142.245.58;Malicious;Block
98.142.245.58 #100;64;0;https://www.abuseipdb.com/check/98.142.245.58;https://otx.alienvault.com/indicator/ip/98.142.245.58;Malicious;Block
98.142.245.58 #100;64;0;https://www.abuseipdb.com/check/98.142.245.58;https://otx.alienvault.com/indicator/ip/98.142.245.58;Malicious;Block
107.173.37.111 #100;751;9;https://www.abuseipdb.com/check/107.173.37.111;https://otx.alienvault.com/indicator/ip/107.173.37.111;Malicious;Block
51.79.142.97 #85;57;0;https://www.abuseipdb.com/check/51.79.142.97;https://otx.alienvault.com/indicator/ip/51.79.142.97;Malicious;Block
51.79.142.97 #85;57;0;https://www.abuseipdb.com/check/51.79.142.97;https://otx.alienvault.com/indicator/ip/51.79.142.97;Malicious;Block
51.79.142.97 #85;57;0;https://www.abuseipdb.com/check/51.79.142.97;https://otx.alienvault.com/indicator/ip/51.79.142.97;Malicious;Block
45.148.10.97 #100;2886;28;https://www.abuseipdb.com/check/45.148.10.97;https://otx.alienvault.com/indicator/ip/45.148.10.97;Malicious;Block
194.163.182.227 #100;405;2;https://www.abuseipdb.com/check/194.163.182.227;https://otx.alienvault.com/indicator/ip/194.163.182.227;Malicious;Block
45.148.10.97 #100;2886;28;https://www.abuseipdb.com/check/45.148.10.97;https://otx.alienvault.com/indicator/ip/45.148.10.97;Malicious;Block
45.148.10.97 #100;2886;28;https://www.abuseipdb.com/check/45.148.10.97;https://otx.alienvault.com/indicator/ip/45.148.10.97;Malicious;Block
45.148.10.97 #100;2886;28;https://www.abuseipdb.com/check/45.148.10.97;https://otx.alienvault.com/indicator/ip/45.148.10.97;Malicious;Block
51.79.196.197 #70;37;1;https://www.abuseipdb.com/check/51.79.196.197;https://otx.alienvault.com/indicator/ip/51.79.196.197;Malicious;Block
51.79.196.197 #70;37;1;https://www.abuseipdb.com/check/51.79.196.197;https://otx.alienvault.com/indicator/ip/51.79.196.197;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
